stage,hole_cards,comm_cards,hand_potential,hand_strength,action
FLOP,"['9s', 'Qd']","['Js', 'Qs', '7d']",0.4807022246046636,8, 'Player IlxxxlI checks'
TURN,"['9s', 'Qd']","['Js', 'Qs', '7d', '5c']",0.4807022246046636,8, 'Player IlxxxlI checks'
RIVER,"['9s', 'Qd']","['Js', 'Qs', '7d', '5c', '5d']",0.6262396140444921,7, 'Player IlxxxlI checks'
PREFLOP,"['5s', 'Qd']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Kh', 'Qd']",-1,0.16,-1, 'Player IlxxxlI raises (2.40)'
PREFLOP,"['7d', '9c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '3c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['7h', '5d']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['4s', '2d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9s', '3d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ah', 'Qs']",-1,0.31,-1,'Player IlxxxlI raises (7)'
FLOP,"['Ah', 'Qs']","['Qd', 'Kc', '8h']",0.49490753149289735,8, 'Player IlxxxlI calls (7.12)'
TURN,"['Ah', 'Qs']","['Qd', 'Kc', '8h', '4h']",0.49490753149289735,8, 'Player IlxxxlI calls (18.52)'
RIVER,"['Ah', 'Qs']","['Qd', 'Kc', '8h', '4h', 'Qc']",0.7665505226480837,6, 'Player IlxxxlI bets (44)'
PREFLOP,"['Jc', '3c']",-1,-0.13,-1, 'Player IlxxxlI calls (1.20)'
FLOP,"['Jc', '3c']","['Ts', '8c', '2s']",0.028276601447333127,9, 'Player IlxxxlI checks'
PREFLOP,"['6h', '9c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9c', '7d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['5c', '4s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kc', 'Ah']",-1,0.51,-1,'Player IlxxxlI raises (7)'
PREFLOP,"['3c', '7h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6d', '5s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7h', '7d']",-1,0.16,-1, 'Player IlxxxlI raises (4.80)'
FLOP,"['7h', '7d']","['6h', '2s', '9h']",0.3220316269096757,8, 'Player IlxxxlI checks'
PREFLOP,"['Js', 'Jd']",-1,0.86,-1, 'Player IlxxxlI raises (5)'
PREFLOP,"['Ah', '3c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Qc']",-1,0.16,-1,'Player IlxxxlI raises (3.50)'
PREFLOP,"['8c', 'Qh']",-1,-0.11,-1,'Player IlxxxlI raises (4)'
FLOP,"['8c', 'Qh']","['9d', 'Js', 'Kc']",0.10399356740820154,9, 'Player IlxxxlI bets (4.94)'
PREFLOP,"['Ad', '3d']",-1,0.02,-1,
PREFLOP,"['8s', '3h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kd', 'Jd']",-1,0.29,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['8d', '6s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Jd', '4h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['3h', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'As']",-1,0.19,-1,'Player IlxxxlI raises (4)'
FLOP,"['Jd', 'As']","['Qd', '8s', 'Jh']",0.4642187081211472,8, 'Player IlxxxlI checks'
TURN,"['Jd', 'As']","['Qd', '8s', 'Jh', 'Kh']",0.46582685607075847,8,Player IlxxxlI folds
PREFLOP,"['As', 'Ks']",-1,0.78,-1, 'Player IlxxxlI raises (4)'
PREFLOP,"['9h', '4d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4s', '4c']",-1,-0.03,-1, 'Player IlxxxlI calls (2)'
FLOP,"['4s', '4c']","['8h', '3d', '7d']",0.23237737871884212,8, 'Player IlxxxlI checks'
PREFLOP,"['Qs', 'Ts']",-1,0.17,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['2h', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '2d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6s', 'Tc']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5d', 'Td']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Kc']",-1,0.08,-1, 'Player IlxxxlI raises (7)'
PREFLOP,"['Jh', '2s']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['3d', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9h', 'Jd']",-1,-0.09,-1, 'Player IlxxxlI calls (3)'
FLOP,"['9h', 'Jd']","['8c', '4d', 'Kd']",0.08482980434199949,9, 'Player IlxxxlI checks'
TURN,"['9h', 'Jd']","['8c', '4d', 'Kd', 'Qs']",0.10399356740820154,9, 'Player IlxxxlI bets (5.75)'
PREFLOP,"['Th', '5h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qs', '6s']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['2h', 'Td']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Tc', '8s']",-1,-0.10,-1,
PREFLOP,"['9d', 'Qd']",-1,0.05,-1,'Player IlxxxlI raises (2)'
PREFLOP,"['Jh', '2d']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Jc', 'Th']",-1,-0.03,-1,Player IlxxxlI folds
